iter	Logloss
0	0.4828547039
1	0.322537022
2	0.2119465101
3	0.1507654571
4	0.1047647453
5	0.07553464648
6	0.05202841554
7	0.04159693372
8	0.03380931826
9	0.02877203969
10	0.02499707641
11	0.02186517282
12	0.02016784544
13	0.01823178204
14	0.01717778503
15	0.0161153262
16	0.0153378074
17	0.01470318716
18	0.01394098884
19	0.01335838408
20	0.01314842639
21	0.0128317738
22	0.01255938208
23	0.01226250854
24	0.01199527018
25	0.01164742832
26	0.01131084041
27	0.01109273437
28	0.01099366651
29	0.01085642252
30	0.01065295247
31	0.01051749963
32	0.0102481855
33	0.01006664811
34	0.00997591287
35	0.009850533451
36	0.009787138469
37	0.009706427732
38	0.009588652975
39	0.00942978539
40	0.009321930641
41	0.009162824291
42	0.009066724488
43	0.008973845395
44	0.008875885448
45	0.008621819375
46	0.008441137388
47	0.008179392759
48	0.00814337165
49	0.008070829909
50	0.007924017072
51	0.00775906625
52	0.007589209463
53	0.007521124879
54	0.007316126557
55	0.007209640296
56	0.007149006165
57	0.007116085261
58	0.007063483568
59	0.006956194017
60	0.006700046603
61	0.006507375307
62	0.006418667388
63	0.006258707343
64	0.006118551625
65	0.006097038755
66	0.00600801142
67	0.005925917525
68	0.005876566012
69	0.005790037898
70	0.005704077395
71	0.005567144162
72	0.005493694036
73	0.00541194051
74	0.005353549624
75	0.005257787319
76	0.00519157527
77	0.005144025141
78	0.005047487747
79	0.004961276856
80	0.004887816921
81	0.0048459022
82	0.004791812261
83	0.004658809981
84	0.004612683051
85	0.004528198995
86	0.004479037061
87	0.004367862751
88	0.004317223051
89	0.004268097103
90	0.004229218019
91	0.004113104822
92	0.004096595204
93	0.004026890077
94	0.003983254563
95	0.003948985375
96	0.003916794915
97	0.003889090212
98	0.003846701191
99	0.003788738814
100	0.00375052497
101	0.003647555435
102	0.003557268608
103	0.003479209897
104	0.003372296598
105	0.003326086122
106	0.003302374445
107	0.003248394008
108	0.003215402748
109	0.003092289978
110	0.002991235068
111	0.002905019277
112	0.00288431689
113	0.002867563826
114	0.002822836229
115	0.002791247371
116	0.002758051127
117	0.002741402143
118	0.002725786886
119	0.002691322495
120	0.00267978272
121	0.002628158752
122	0.002612840145
123	0.002575005355
124	0.002517613511
125	0.002476203105
126	0.002443483995
127	0.002394570691
128	0.002389227018
129	0.002348824856
130	0.002286442009
131	0.00223337156
132	0.002205497571
133	0.002181643217
134	0.002167897472
135	0.002124726115
136	0.002098506664
137	0.002084284992
138	0.002052705372
139	0.002042025552
140	0.00200909042
141	0.00197438473
142	0.001937752054
143	0.001918048428
144	0.00191052935
145	0.001892818635
146	0.00185401264
147	0.001846372397
148	0.001831352241
149	0.001804770524
150	0.001796961267
151	0.001768919679
152	0.001759496094
153	0.001749044308
154	0.001727615309
155	0.001701155177
156	0.00167629588
157	0.001639968044
