features,importance_score
balance_difference_90,0.26034722887478984
balance_difference_60,0.2534328475629436
incoming_foreign_amount_30,0.1423093152870157
outgoing_domestic_amount_90,0.11076197742122279
outgoing_domestic_amount_60,0.08767320108218316
outgoing_foreign_amount_90,0.022281735317543835
incoming_domestic_count_30,0.021209092912531213
incoming_foreign_amount_90,0.018037934428607086
incoming_foreign_amount_60,0.017705218814986205
outgoing_foreign_amount_30,0.0170513519873944
outgoing_foreign_amount_60,0.015110125706694722
incoming_domestic_count_90,0.007515038665769857
outgoing_domestic_count_30,0.006039099923845679
incoming_domestic_count_60,0.0051091058388341715
outgoing_domestic_count_60,0.0016939905883773638
incoming_foreign_count_30,0.0016188951845251365
outgoing_foreign_count_60,0.0015351823868332915
outgoing_domestic_amount_30,0.001533612991669547
incoming_foreign_count_90,0.0013457092688465664
outgoing_domestic_count_90,0.0013287941839294237
incoming_foreign_count_60,0.0013264526058904338
incoming_domestic_amount_90,0.001293323352968317
balance_difference_30,0.0012097772302436694
outgoing_foreign_count_30,0.0011289034059138348
outgoing_foreign_count_90,0.0007742880822377455
incoming_domestic_amount_60,0.0006277968942025176
